"country","iso","year","month","total","financial","humanitarian","military","commitments","to_be_allocated","gdp","pct_gdp"
"Croatia","HRV",2023,2,0.044208,0,0,0.044208,0.044208,0,58.3011187601044,0.0758270183148726
"Croatia","HRV",2023,3,0.0005,0,0,0.0005,0.0005,0,58.3011187601044,0.000857616475693003
"Croatia","HRV",2023,4,0.059542,0,0.029771,0.029771,0.059542,0,58.3011187601044,0.102128400391426
"Croatia","HRV",2023,6,0.071522,0,0.043967,0.027555,0.071522,0,58.3011187601044,0.12267689114903
"Croatia","HRV",2023,7,0.002,0.001,0.001,0,0.002,0,58.3011187601044,0.00343046590277201
"Croatia","HRV",2023,8,0.03,0,0,0.03,0.03,0,58.3011187601044,0.0514569885415802
"Croatia","HRV",2023,10,0.005,0,0.005,0,0.005,0,58.3011187601044,0.00857616475693003
"Croatia","HRV",2024,8,0.001055,0,0.001055,0,0.001055,0,58.3011187601044,0.00180957076371224
"Croatia","HRV",2024,9,0.005,0,0.005,0,0.005,0,58.3011187601044,0.00857616475693003
"Croatia","HRV",2025,1,0.002,0,0.002,0,0.002,0,58.3011187601044,0.00343046590277201
"Croatia","HRV",2025,8,0.03,0,0,0.03,0.03,0,58.3011187601044,0.0514569885415802
"Croatia","HRV",2025,12,0.015,0,0,0.015,0.015,0,58.3011187601044,0.0257284942707901
"Croatia","HRV",2026,1,0.0005,0,0.0005,0,0.0005,0,58.3011187601044,0.000857616475693003
"Croatia","HRV",2026,2,0.003,0,0.003,0,0.003,0,58.3011187601044,0.00514569885415802
"Cyprus","CYP",2022,3,0.002,0,0.002,0,0.002,0,24.0186854983759,0.00832685036046306
"Cyprus","CYP",2022,6,0.0005,0,0.0005,0,0.0005,0,24.0186854983759,0.00208171259011576
"Cyprus","CYP",2022,12,0.0005,0,0.0005,0,0.0005,0,24.0186854983759,0.00208171259011576
"Cyprus","CYP",2023,4,0,0,0,0,0,0,24.0186854983759,0
"Cyprus","CYP",2023,7,0.001,0.001,0,0,0.001,0,24.0186854983759,0.00416342518023153
"Czechia","CZE",2022,1,0.001496,0,0,0.001496,0.001496,0,238.241552030118,0.000627934122848092
"Czechia","CZE",2022,2,0.019974,0,0.012276,0.007698,0.019974,0,238.241552030118,0.00838392792096777
"Czechia","CZE",2022,3,0.011596,0,0.005736,0.00586,0.011597,0.000001,238.241552030118,0.00486732893619416
"Czechia","CZE",2022,4,0.000757,0,0.000757,0,0.000757,0,238.241552030118,0.000317744739970592
"Czechia","CZE",2022,5,0,0,0,0,0.017495,0.017495,238.241552030118,0
"Czechia","CZE",2022,6,0.004604,0,0.004604,0,0.004604,0,238.241552030118,0.00193249244758865
"Czechia","CZE",2022,12,0.194363,0,0.0085,0.185863,0.194363,0,238.241552030118,0.0815823261491468
"Czechia","CZE",2023,2,0.00782,0,0.00782,0,0.00782,0,238.241552030118,0.00328238291488775
"Czechia","CZE",2023,4,0.001176,0,0.001139,0.000037,0.001176,0,238.241552030118,0.000493616663415345
"Czechia","CZE",2023,5,0.05444,0,0.000283,0.054157,0.05444,0,238.241552030118,0.0228507577859961
"Czechia","CZE",2023,6,0.002722,0,0.002722,0,0.002722,0,238.241552030118,0.0011425378892998
"Czechia","CZE",2023,10,0.000633,0,0.000633,0,0.000633,0,238.241552030118,0.000265696724440402
"Czechia","CZE",2023,11,0.0025,0,0,0.0025,0.0025,0,238.241552030118,0.00104935515181833
"Czechia","CZE",2023,12,0.01,0,0.01,0,0.01,0,238.241552030118,0.00419742060727334
"Czechia","CZE",2024,5,0.021895,0,0,0.021895,0.021895,0,238.241552030118,0.00919025241962498
"Czechia","CZE",2024,6,0.03494,0,0,0.03494,0.06988,0.03494,238.241552030118,0.014665787601813
"Czechia","CZE",2024,11,0.000737,0,0.000258,0.000479,0.000737,0,238.241552030118,0.000309349898756045
"Czechia","CZE",2024,12,0.022895,0,0,0.022895,0.022895,0,238.241552030118,0.00960999448035231
"Czechia","CZE",2025,5,0.000002,0,0.000002,0,0.004014,0.004012,238.241552030118,0.000000839484121454668
"Czechia","CZE",2025,6,0.003024,0,0.003024,0,0,-0.003024,238.241552030118,0.00126929999163946
"Czechia","CZE",2025,7,0.000731,0,0.000731,0,0,-0.000731,238.241552030118,0.000306831446391681
"Czechia","CZE",2025,8,0.000405,0,0.000405,0,0.00015,-0.000255,238.241552030118,0.00016999553459457
"Czechia","CZE",2025,10,0.235238,0,0.000823,0.234415,0.439781,0.204543,238.241552030118,0.0987392828813766
"Denmark","DNK",2022,3,0.06274,0.02,0.04274,0,0.06274,0,336.76308262323,0.018630308141642
"Denmark","DNK",2022,4,0.13496,0,0.000535,0.134425,0.13496,0,336.76308262323,0.0400756516862607
"Denmark","DNK",2022,5,0.155248,0,0.020832,0.134416,0.155248,0,336.76308262323,0.0461000650043613
"Denmark","DNK",2022,8,0.126225,0,0.016,0.110225,0.126225,0,336.76308262323,0.0374818400570411
"Denmark","DNK",2022,9,0.162071,0.030291,0,0.13178,0.162072,0.000001,336.76308262323,0.0481261184383815
"Denmark","DNK",2022,10,0.0182,0,0.0182,0,0.0182,0,336.76308262323,0.00540439286225508
"Denmark","DNK",2022,12,0.085347,0,0.0256,0.059747,0.085347,0,336.76308262323,0.025343336132686
"Denmark","DNK",2023,1,0.241958,0,0,0.241958,0,-0.241958,336.76308262323,0.0718481367123909
"Denmark","DNK",2023,3,0.134307,0,0,0.134307,1.520153,1.385846,336.76308262323,0.0398817468214776
"Denmark","DNK",2023,4,0.013646,0,0,0.013646,0,-0.013646,336.76308262323,0.00405210686804026
"Denmark","DNK",2023,5,0.228157,0,0,0.228157,3.018244,2.790087,336.76308262323,0.0677500034216226
"Denmark","DNK",2023,6,0.174515,0,0,0.174515,0,-0.174515,336.76308262323,0.0518212978217827
"Denmark","DNK",2023,7,0.091384,0.064836,0.026548,0,0,-0.091384,336.76308262323,0.0271359910617757
"Denmark","DNK",2023,8,0.716361,0,0,0.716361,0,-0.716361,336.76308262323,0.212719575560325
"Denmark","DNK",2023,9,0.777836,0,0,0.777836,0,-0.777836,336.76308262323,0.230974248703574
"Denmark","DNK",2023,10,0.495951,0,0,0.495951,0,-0.495951,336.76308262323,0.147270002441114
"Denmark","DNK",2023,11,0.044222,0,0.044222,0,3.459332,3.41511,336.76308262323,0.0131314868766288
"Denmark","DNK",2023,12,1.200049,0,0.019734,1.180315,0,-1.200049,336.76308262323,0.356348145601997
"Denmark","DNK",2024,1,0.26337,0,0.028295,0.235075,0.028295,-0.235075,336.76308262323,0.0782063158314352
"Denmark","DNK",2024,2,0.008719,0,0.001341,0.007378,0.001341,-0.007378,336.76308262323,0.0025890605146155
"Denmark","DNK",2024,3,0.529734,0,0,0.529734,0,-0.529734,336.76308262323,0.157301683983178
"Denmark","DNK",2024,4,0.300284,0,0.005362,0.294922,0.595207,0.294923,336.76308262323,0.0891677311126046
"Denmark","DNK",2024,5,0.650086,0,0.03351,0.616576,0,-0.650086,336.76308262323,0.193039568035822
"Denmark","DNK",2024,6,0.16557,0,0.0047,0.16087,0.0047,-0.16087,336.76308262323,0.0491651278133832
"Denmark","DNK",2024,7,0.001,0,0,0.001,0,-0.001,336.76308262323,0.000296944662761268
"Denmark","DNK",2024,8,0.11178,0,0.006841,0.104939,0.006841,-0.104939,336.76308262323,0.0331924744034545
"Denmark","DNK",2024,9,0.184835,0,0.075585,0.10925,0.075585,-0.10925,336.76308262323,0.054885766741479
